"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"ESP8266-12EESP8266-ESP12E";"ESP8266-ESP12E";"MDL1";"ESP8266-12E with additional I/O and GPIO04/05 corrected";"";
"1";"";"RELAY_EE2";"RELAY-EE2";"K1";"";"";
"1";"0";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";
"9";"100nF";"C-USC0603";"C0603";"C1, C2, C3, C4, C5, C10, C11, C12, C18";"CAPACITOR, American symbol";"";
"2";"100uF";"C-USC1206";"C1206";"C7, C13";"CAPACITOR, American symbol";"";
"9";"10k";"R-US_R0603";"R0603";"R2, R3, R4, R5, R6, R7, R8, R11, R14";"RESISTOR, American symbol";"";
"1";"10k";"R-US_R0805";"R0805";"R15";"RESISTOR, American symbol";"";
"1";"10uF";"C-USC0805";"C0805";"C8";"CAPACITOR, American symbol";"";
"1";"10uF";"CPOL-USUD-5X5,8";"UD-5X5,8_NICHICON";"C16";"POLARIZED CAPACITOR, American symbol";"";
"2";"1200uF";"CPOL-USUD-10X10";"UD-10X10_NICHICON";"C14, C15";"POLARIZED CAPACITOR, American symbol";"";
"1";"1225BAT";"1225BAT";"BHSD-1225-SM";"BT1";"";"";
"1";"1981584-1";"1981584-1";"1981584-1";"J2";"Receptacle, micro-USB, type A/B";"";
"1";"1K";"R-US_R0805";"R0805";"R13";"RESISTOR, American symbol";"";
"2";"1k";"R-US_R0805";"R0805";"R9, R12";"RESISTOR, American symbol";"";
"2";"1uF";"C-USC0805";"C0805";"C9, C17";"CAPACITOR, American symbol";"";
"1";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"J7";"";"";
"2";"4.7k";"R-US_R0603";"R0603";"R16, R17";"RESISTOR, American symbol";"";
"1";"470pF";"C-USC0603";"C0603";"C6";"CAPACITOR, American symbol";"";
"1";"ADP3338AKCZ-3.3RL7";"ADP3338AKCZ-3.3RL7";"SOT230P700X180-4N";"U3";"Low Dropout Regulator";"";
"1";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"U1";"32-Pin Atmega328 part";"";
"1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"J1";"AVR ISP 6 Pin";"";
"2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"D1, D2";"DIODE";"";
"1";"CSTCE16M0V53-R0 16MHZ";"RESONATORMU";"RESONATOR";"Y1";"";"";
"1";"DS1307SO8";"DS1307SO8";"SO08";"U4";"I2C real-time clock with battery backup.";"";
"1";"FEMALE 2x3";"M03X2FEMALE";"2X3";"J6";"2x3 .1" header.";"";
"2";"HDMI";"HDMI";"0471511071";"J3, J5";"";"";
"1";"JST-3";"JST-3";"B3B-PH-SM4-TB";"J4";"";"";
"1";"MC-306";"MC-306";"MC-306";"Y2";"kHz RANGE CRYSTAL UNIT SMD";"";
"1";"NO(10k)";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";
"2";"PMBT3904";"PMBT3904";"SOT-23-3";"Q1, Q2";"PMBT3904";"";
"1";"RFID-RC522";"RFID-RC522";"RFID-RC522";"A1";"";"";
"1";"SPEAKER/PS12";"SPEAKER/PS12";"PS12";"SP1";"SPEAKER Source: BuerklinAdded PS12 (for part # PS1240 piezo) http://www.ladyada.net/library/pcb/eaglelibrary.html";"";
"1";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"S1";"Various NO switches- pushbuttons, reed, etc";"";
"1";"TXS0108EPWR-TSSOP20";"LOGIC-TXS0108EPWR(TSSOP20)";"TSSOP20-0.65-6.5X4.4MM";"U2";"310050026";"";
