"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"ESP8266-12EESP8266-ESP12E";"ESP8266-ESP12E";"MDL1";"ESP8266-12E with additional I/O and GPIO04/05 corrected";"";
"1";"";"M07";"1X07";"JP1";"Header 7";"";
"6";"100nF";"C-USC0805";"C0805";"C1, C5, C7, C8, C9, C10";"CAPACITOR, American symbol";"";
"1";"100pF";"C-USC0805";"C0805";"C2";"CAPACITOR, American symbol";"";
"1";"100uF";"C-USC1206";"C1206";"C6";"CAPACITOR, American symbol";"";
"14";"10k";"R-US_R0805";"R0805";"R1, R2, R3, R4, R6, R7, R8, R9, R10, R13, R14, R15, R16, R17";"RESISTOR, American symbol";"";
"2";"10uF";"C-USC0805";"C0805";"C12, C13";"CAPACITOR, American symbol";"";
"1";"1200uF";"CPOL-USUD-10X10";"UD-10X10_NICHICON";"C11";"POLARIZED CAPACITOR, American symbol";"";
"2";"18pF";"C-USC0805";"C0805";"C3, C4";"CAPACITOR, American symbol";"";
"1";"1981584-1";"1981584-1";"1981584-1";"J4";"Receptacle, micro-USB, type A/B";"";
"3";"1k";"R-US_R0805";"R0805";"R5, R11, R12";"RESISTOR, American symbol";"";
"2";"74HCT1G125GW";"74HCT1G125GW";"SOT65P210X110-5N";"U1, U4";"Bus buffer/line driver";"";
"1";"BAT-HLD-001";"LINX-BAT-HLD-00120SMD";"BATTCON_20MM";"BAT1";"Battery Holders";"";
"1";"CRYSTAL.ABS25";"CRYSTAL.ABS25";"ABS25";"Y1";"";"";
"1";"DB2S311";"DIODESOD-523";"SOD-523";"D1";"Diode";"";
"2";"HDMI";"HDMI";"0471511071";"J2, J3";"";"";
"1";"JST-3";"JST-3";"B3B-PH-SM4-TB";"J1";"";"";
"1";"MC74VHC1GT66";"MC74VHC1GT66";"TSOP-5";"U3";"";"";
"1";"MCP79510";"MCP79510";"MSOP10";"U2";"";"";
"1";"NCP1117LPST33T3G";"V_REG_LM1117SOT223";"SOT223";"U5";"Voltage Regulator LM1117";"";
"1";"PMBT3904";"PMBT3904";"SOT-23-3";"Q1";"PMBT3904";"";
"1";"PULSADOR-SPST-SMD-1-3-4";"PULSADOR-SPST-SMD-1-3-4";"PTS645SM43SMTR92";"S1";"";"";
"1";"RFID-RC522";"RFID-RC522";"RFID-RC522";"A1";"";"";
"1";"SPEAKER/PS12";"SPEAKER/PS12";"PS12";"SP1";"SPEAKER Source: BuerklinAdded PS12 (for part # PS1240 piezo) http://www.ladyada.net/library/pcb/eaglelibrary.html";"";
