"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"ESP8266-12EESP8266-ESP12E";"ESP8266-ESP12E";"MDL1";"ESP8266-12E with additional I/O and GPIO04/05 corrected";"";
"3";"";"M03PTH";"1X03";"JP3, JP7, JP8";"Header 3";"";
"3";"";"M041X04_NO_SILK";"1X04_NO_SILK";"JP2, JP4, JP5";"Header 4";"";
"1";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"S1";"SPDT Switch";"";
"1";"1000uF";"CPOL-USE2.5-6";"E2,5-6";"C1";"POLARIZED CAPACITOR, American symbol";"";
"2";"100R";"R-US_R0805";"R0805";"R11, R12";"RESISTOR, American symbol";"";
"1";"100R";"R-US_R1206";"R1206";"R10";"RESISTOR, American symbol";"";
"1";"100k";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";
"5";"100nF";"C-USC0805";"C0805";"C4, C5, C6, C9, C10";"CAPACITOR, American symbol";"";
"1";"10K";"R-US_R0805";"R0805";"R13";"RESISTOR, American symbol";"";
"8";"10k";"R-US_R0805";"R0805";"R1, R3, R4, R5, R6, R7, R8, R9";"RESISTOR, American symbol";"";
"1";"10uF";"C-USC1206";"C1206";"C3";"CAPACITOR, American symbol";"";
"1";"10uF";"CPOL-USE2.5-6";"E2,5-6";"C2";"POLARIZED CAPACITOR, American symbol";"";
"1";"16Mhz";"CRYSTALHC49US";"HC49US";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";
"2";"22pF";"C-USC1206";"C1206";"C7, C8";"CAPACITOR, American symbol";"";
"1";"2N3906";"2N3906";"TO92";"Q1";"PNP Transistor";"";
"1";"5MMRGBLED";"5MMRGBLED";"LED5MMRGB";"LED1";"";"";
"1";"ADP3338AKCZ-3.3RL7";"ADP3338AKCZ-3.3RL7";"SOT230P700X180-4N";"U1";"Low Dropout Regulator";"";
"1";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"U2";"32-Pin Atmega328 part";"";
"1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"J1";"AVR ISP 6 Pin";"";
"1";"BUZZERPTH";"BUZZERPTH";"BUZZER-12MM";"SG1";"Buzzer 12mm";"";
"1";"LEVELSHIFTER4";"LEVELSHIFTER4";"LEVELSHIFTER4";"LVLSHF1";"";"";
"1";"M025MM";"M025MM";"SCREWTERMINAL-5MM-2";"JP1";"Standard 2-pin 0.1" header. Use with";"";
"1";"M02PTH";"M02PTH";"1X02";"JP9";"Standard 2-pin 0.1" header. Use with";"";
